Country Code;Parent Code;Country;Region;Sub-Region;Population 2010;Estimate Population 2020
850;915;United States Virgin Islands;LATIN AMERICA AND THE CARIBBEAN;Caribbean;106086;104423
833;924;Isle of Man;EUROPE;Northern Europe;84856;85032
136;915;Cayman Islands;LATIN AMERICA AND THE CARIBBEAN;Caribbean;56672;65720
60;918;Bermuda;NORTHERN AMERICA;NORTHERN AMERICA;65388;62273
584;954;Marshall Islands;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);Micronesia;56361;59194
580;954;Northern Mariana Islands;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);Micronesia;53971;57557
304;918;Greenland;NORTHERN AMERICA;NORTHERN AMERICA;56638;56772
16;957;American Samoa;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);American Samoa;56084;55197
234;924;Faroe Islands;EUROPE;Northern Europe;47803;48865
534;915;Sint Maarten (Dutch part);LATIN AMERICA AND THE CARIBBEAN;Caribbean;34166;42882
796;915;Turks and Caicos Islands;LATIN AMERICA AND THE CARIBBEAN;Caribbean;32658;38718
663;915;Saint Martin (French part);LATIN AMERICA AND THE CARIBBEAN;Caribbean;37582;38659
292;925;Gibraltar;EUROPE;Southern Europe;33585;33691
92;915;British Virgin Islands;LATIN AMERICA AND THE CARIBBEAN;Caribbean;27796;30237
535;915;Bonaire Sint Eustatius and Saba;LATIN AMERICA AND THE CARIBBEAN;Caribbean;20941;26221
585;954;Palau;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);Micronesia;17954;18092
184;957;Cook Islands;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);American Samoa;18392;17564
660;915;Anguilla;LATIN AMERICA AND THE CARIBBEAN;Caribbean;13436;15002
798;957;Tuvalu;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);American Samoa;10521;11792
876;957;Wallis and Futuna Islands;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);American Samoa;12686;11246
520;954;Nauru;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);Micronesia;10009;10834
652;915;Saint Barthelemy;LATIN AMERICA AND THE CARIBBEAN;Caribbean;9234;9885
654;914;Saint Helena;SUB-SAHARAN AFRICA;Western Africa;5183;6071
666;918;Saint Pierre and Miquelon;NORTHERN AMERICA;NORTHERN AMERICA;6361;5795
500;915;Montserrat;LATIN AMERICA AND THE CARIBBEAN;Caribbean;4895;4999
238;931;Falkland Islands (Malvinas);LATIN AMERICA AND THE CARIBBEAN;South America;2902;3483
570;957;Niue;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);American Samoa;1622;1618
772;957;Tokelau;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);American Samoa;1129;1350
